epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
87,232621,0.82272,0.42741,0.06321,0.65752,0.33703,0.34535,0.17165,1.43398,0.44572,0.26717,0.001486,0.001486,0.001486
88,235356,0.81508,0.42956,0.06281,0.6561,0.33169,0.34107,0.16678,1.43968,0.44484,0.27016,0.001387,0.001387,0.001387
89,238089,0.97732,0.41018,0.07788,0.66334,0.32537,0.33689,0.16194,1.44614,0.44235,0.27268,0.001288,0.001288,0.001288
90,240825,0.79532,0.41901,0.0656,0.66353,0.3242,0.33699,0.16267,1.44105,0.44434,0.27257,0.001189,0.001189,0.001189
91,243569,1.09886,0.39979,0.11216,0.66555,0.32164,0.33714,0.16389,1.43557,0.44628,0.27268,0.00109,0.00109,0.00109
92,246295,0.7951,0.44042,0.06208,0.66381,0.32141,0.33617,0.16358,1.43118,0.4479,0.27232,0.000991,0.000991,0.000991
93,249017,0.74133,0.42731,0.06336,0.67253,0.32079,0.33699,0.16563,1.42235,0.4507,0.27105,0.000892,0.000892,0.000892
94,251737,0.48892,0.41873,0.03821,0.67428,0.32041,0.33727,0.16607,1.41862,0.45202,0.26964,0.000793,0.000793,0.000793
95,254465,0.55755,0.42028,0.04237,0.67499,0.31983,0.3376,0.16688,1.41238,0.45402,0.26982,0.000694,0.000694,0.000694
96,257267,0.6355,0.41342,0.04841,0.67298,0.32,0.33782,0.16842,1.40838,0.4555,0.26837,0.000595,0.000595,0.000595
97,260136,0.62813,0.41303,0.05146,0.67402,0.31924,0.33781,0.16935,1.4038,0.45643,0.26786,0.000496,0.000496,0.000496
98,263004,0.39731,0.39842,0.03334,0.67309,0.31925,0.33705,0.1694,1.40006,0.45805,0.26719,0.000397,0.000397,0.000397
99,265874,0.47989,0.40595,0.03753,0.66951,0.31931,0.3359,0.1688,1.39785,0.45983,0.26639,0.000298,0.000298,0.000298
100,268744,0.38996,0.39234,0.03285,0.67097,0.3187,0.33493,0.16886,1.39218,0.46131,0.26524,0.000199,0.000199,0.000199
